127.0.0.1, 2014-11-17 16:29:48, GET, /sentinella/default/index, HTTP/1.1, 200, 0.014355
127.0.0.1, 2014-11-17 16:29:51, GET, /admin/default/site, HTTP/1.1, 200, 0.034738
127.0.0.1, 2014-11-17 16:29:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2014-11-17 16:29:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000282
127.0.0.1, 2014-11-17 16:29:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000161
127.0.0.1, 2014-11-17 16:29:56, GET, /sentinella/default/index, HTTP/1.1, 200, 0.011331
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/default/edit/sentinella/views/default/index.html, HTTP/1.1, 200, 0.145039
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000293
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000565
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000734
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000729
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001090
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000548
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000710
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000433
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000350
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000718
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000629
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000345
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000925
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000808
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001231
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000807
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000524
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001266
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001635
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000763
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000804
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000237
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000294
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000537
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001361
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000821
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000650
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001326
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000870
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000464
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000486
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/js/ajax_editor.js, HTTP/1.1, 200, 0.000841
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/js/typeahead.min.js, HTTP/1.1, 200, 0.000659
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000370
127.0.0.1, 2014-11-17 16:31:37, GET, /admin/static/_2.9.11/images/files_toggle.png, HTTP/1.1, 200, 0.000387
127.0.0.1, 2014-11-17 16:31:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000243
